id,delta_point,created_at,user_id,user_question_record_id
791295,6,"2023-04-28 12:33:15",849487,772434
791300,5,"2023-04-28 12:33:15",849445,772439
791314,13,"2023-04-28 12:33:22",849762,772453
791318,5,"2023-04-28 12:33:23",849439,772457
791331,10,"2023-04-28 12:33:27",849762,772470
791333,14,"2023-04-28 12:33:29",849439,772472
791335,5,"2023-04-28 12:33:30",849475,772474
791345,10,"2023-04-28 12:33:32",849487,772484
791349,11,"2023-04-28 12:33:33",849445,772488
791354,8,"2023-04-28 12:33:36",849475,772493
791360,9,"2023-04-28 12:33:38",849436,772499
791362,10,"2023-04-28 12:33:38",849762,772501
791367,13,"2023-04-28 12:33:40",849477,772506
791373,6,"2023-04-28 12:33:42",849439,772512
791382,8,"2023-04-28 12:33:45",849436,772521
791391,6,"2023-04-28 12:33:48",849762,772530
791398,6,"2023-04-28 12:33:51",849559,772537
791402,8,"2023-04-28 12:33:52",849864,772541
791415,6,"2023-04-28 12:33:56",849441,772554
791418,6,"2023-04-28 12:33:56",849762,772557
791420,5,"2023-04-28 12:33:57",849670,772559
791425,12,"2023-04-28 12:33:59",849864,772564
791428,7,"2023-04-28 12:34:00",849477,772567
791444,9,"2023-04-28 12:34:05",849436,772583
791451,6,"2023-04-28 12:34:06",849445,772590
791455,5,"2023-04-28 12:34:07",849864,772594
791460,13,"2023-04-28 12:34:08",849477,772599
791465,7,"2023-04-28 12:34:10",849670,772604
791480,7,"2023-04-28 12:34:15",849441,772619
791487,15,"2023-04-28 12:34:17",849559,772626
791489,10,"2023-04-28 12:34:17",849477,772628
791490,9,"2023-04-28 12:34:18",849864,772629
791500,10,"2023-04-28 12:34:21",849445,772639
791508,15,"2023-04-28 12:34:24",849864,772646
791523,15,"2023-04-28 12:34:29",849477,772661
791527,10,"2023-04-28 12:34:29",849436,772665
791528,8,"2023-04-28 12:34:31",849469,772666
791534,14,"2023-04-28 12:34:33",849864,772672
791543,8,"2023-04-28 12:34:36",849436,772681
791545,12,"2023-04-28 12:34:36",849445,772683
791551,5,"2023-04-28 12:34:37",849477,772689
791575,12,"2023-04-28 12:34:44",849477,772713
791583,13,"2023-04-28 12:34:47",849559,772721
791588,13,"2023-04-28 12:34:48",849864,772726
791612,5,"2023-04-28 12:34:55",849436,772750
791618,14,"2023-04-28 12:34:56",849864,772756
791621,13,"2023-04-28 12:34:56",849559,772759
791630,12,"2023-04-28 12:34:58",849445,772767
791636,10,"2023-04-28 12:34:58",849441,772773
791643,14,"2023-04-28 12:35:01",849864,772780
791660,11,"2023-04-28 12:35:05",849559,772796
791695,14,"2023-04-28 12:35:13",849445,772830
791701,6,"2023-04-28 12:35:15",849864,772836
791705,14,"2023-04-28 12:35:15",849454,772840
791715,13,"2023-04-28 12:35:18",849441,772850
791717,9,"2023-04-28 12:35:18",849446,772852
791740,8,"2023-04-28 12:35:24",849436,772875
791777,6,"2023-04-28 12:35:32",849559,772911
791805,11,"2023-04-28 12:35:38",849446,772938
791825,12,"2023-04-28 12:35:42",849559,772959
791887,8,"2023-04-28 12:35:57",849559,773020
791893,9,"2023-04-28 12:35:58",849504,773026
791908,8,"2023-04-28 12:36:02",849559,773041
791915,12,"2023-04-28 12:36:05",849446,773047
791952,7,"2023-04-28 12:36:15",849446,773083
791992,9,"2023-04-28 12:36:30",849504,773123
792014,8,"2023-04-28 12:36:36",849504,773144
792021,6,"2023-04-28 12:36:38",849762,773151
792036,15,"2023-04-28 12:36:41",849504,773166
792050,5,"2023-04-28 12:36:46",849762,773180
792059,11,"2023-04-28 12:36:48",849504,773189
792076,13,"2023-04-28 12:36:52",849762,773206
792092,13,"2023-04-28 12:36:58",849504,773222
792116,14,"2023-04-28 12:37:06",849504,773246
792129,7,"2023-04-28 12:37:09",849446,773259
792140,7,"2023-04-28 12:37:13",849475,773270
792155,12,"2023-04-28 12:37:18",849475,773284
792174,14,"2023-04-28 12:37:23",849504,773303
792194,7,"2023-04-28 12:37:32",849475,773322
792227,5,"2023-04-28 12:37:47",849475,773355
792626,8,"2023-04-28 12:40:24",849475,773747
792723,15,"2023-04-28 12:40:53",849475,773843
792743,15,"2023-04-28 12:41:00",849566,773862
792776,9,"2023-04-28 12:41:09",849566,773894
792854,10,"2023-04-28 12:41:35",849566,773972
792879,9,"2023-04-28 12:41:45",849566,773997
792931,11,"2023-04-28 12:42:03",849566,774049
792948,13,"2023-04-28 12:42:13",849503,774066
792992,11,"2023-04-28 12:42:34",849503,774110
793000,8,"2023-04-28 12:42:40",849503,774118
793006,15,"2023-04-28 12:42:42",849471,774124
793014,7,"2023-04-28 12:42:46",849503,774132
