id,question_text,created_at
359,"패션 감각을 배우고 싶은 사람은?","2023-05-02 05:32:39"
360,"후드티가 완전 잘 어울리는 사람은?","2023-05-02 05:32:40"
361,"노잼개그를 치는데 점점 웃긴 것 같은 사람은?","2023-05-02 05:32:40"
362,"땀냄새가 가장 좋을 것 같은 사람은?","2023-05-02 05:32:40"
363,"생각할수록 괜찮은 것 같은 사람은?","2023-05-02 05:32:41"
364,"가장 좋은 학교에 갈거 같은 사람은?","2023-05-02 05:32:41"
365,"공부를 가장 잘하는 사람은?","2023-05-02 05:32:41"
366,"국어 ACE","2023-05-02 05:32:42"
367,"글쓰기를 제일 잘할거 같은 사람은?","2023-05-02 05:32:42"
368,"기본 상식이 제일 많을거 같은 사람은?","2023-05-02 05:32:42"
369,"내 자식을 낳으면 이 친구에게 공부를 배웠으면 좋겠는 사람은?","2023-05-02 05:32:42"
370,"노력형보다 천재형인 것 같은 사람은?","2023-05-02 05:32:43"
371,"매일 노는데 연고대 합격할 것 같은 사람은?","2023-05-02 05:32:43"
372,"수학 ACE","2023-05-02 05:32:43"
373,"영어 ACE","2023-05-02 05:32:43"
374,"외국어를 가장 많이 할 수 있을거 같은 사람은?","2023-05-02 05:32:44"
375,"가장 예쁘고 잘생긴 사람은?","2023-05-02 05:32:44"
376,"같이 카페에서 공부하고 싶은 사람은?","2023-05-02 05:32:44"
377,"나와 취향이 가장 잘 맞을 것 같은 사람은?","2023-05-02 05:32:44"
378,"땀 흘리는게 제일 멋진 사람은?","2023-05-02 05:32:45"
379,"롯데월드 둘이서 가고 싶은 사람은?","2023-05-02 05:32:45"
380,"마니또를 정한다면 누구랑 할래?","2023-05-02 05:32:45"
381,"손 잡고 싶은 사람은?","2023-05-02 05:32:46"
382,"양다리를 걸쳐도 용서받을 수 있을 것 같은 사람은?","2023-05-02 05:32:46"
383,"워터파크 같이 가고싶은 사람은?","2023-05-02 05:32:46"
384,"입술 색깔이 가장 빨간 사람은?","2023-05-02 05:32:46"
385,"자주 보고 싶은 사람은?","2023-05-02 05:32:47"
386,"장난치는척 손 한 번 잡아보고 싶은 사람은?","2023-05-02 05:32:47"
387,"주짓수 같이 하고 싶은 사람은?","2023-05-02 05:32:47"
388,"첫인상이 가장 끌렸던 사람은?","2023-05-02 05:32:47"
389,"친한 친구와 사랑에 빠질 가능성이 가장 높은 사람은?","2023-05-02 05:32:47"
390,"커플요가를 같이 하고싶은 사람은?","2023-05-02 05:32:48"
391,"플러팅을 제일 잘하는 사람은?","2023-05-02 05:32:48"
392,"피크닉 가고싶은 사람은?","2023-05-02 05:32:48"
393,"함께 영화관에 가고 싶은 사람은?","2023-05-02 05:32:48"
394,"고민이 있을 때 얘기하고 싶은 사람은?","2023-05-02 05:32:49"
