id,distance,nearby_school_id,school_id
119678,0.0390902722,89,68
119679,0.0396343625,103,68
119680,0,68,68
119681,0.0099328827,69,70
119682,0.0377519794,72,70
119683,0.0467744067,71,70
119684,0.0601766942,134,70
119685,0.0737277535,79,70
119686,0.0820008834,66,70
119687,0.0831804359,50,70
119688,0.085208226,68,70
119689,0.0852952292,56,70
119690,0,70,70
119691,0.008577239,120,76
119692,0.0095905298,78,76
119693,0.0147119468,64,76
119694,0.0157686869,65,76
119695,0.0159827973,123,76
119696,0.0164494933,67,76
119697,0.0268617437,113,76
119698,0.0276379424,102,76
119699,0.0280493504,114,76
119700,0,76,76
119701,0.0293486243,73,75
119702,0.0369366299,132,75
119703,0.0519632373,74,75
119704,0.0636559789,133,75
119705,0.0717509503,64,75
119706,0.0720546801,65,75
119707,0.0736966678,67,75
119708,0.0772134595,78,75
119709,0.0794303818,45,75
119710,0,75,75
119711,0.0099328827,70,69
119712,0.0403237648,72,69
119713,0.0475064397,71,69
119714,0.0633776094,134,69
119715,0.0643839138,79,69
119716,0.0733417256,66,69
119717,0.0755557116,68,69
119718,0.0760288137,50,69
119719,0.077347626,56,69
119720,0,69,69
119721,0.0233118057,73,74
119722,0.0519632373,75,74
119723,0.0546415725,132,74
119724,0.0711425214,45,74
119725,0.0737152622,322,74
119726,0.0778365998,40,74
119727,0.0797806838,46,74
119728,0.0813324611,65,74
119729,0.0874971846,78,74
119730,0,74,74
119731,0.011464303,72,71
119732,0.0467744067,70,71
119733,0.0475064397,69,71
119734,0.0613647317,50,71
119735,0.063970395,47,71
119736,0.0685692785,56,71
119737,0.0691288914,39,71
119738,0.0717243075,66,71
119739,0.0723197844,79,71
119740,0,71,71
119741,0.0105782074,99,84
119742,0.0116726358,95,84
119743,0.0169252644,94,84
119744,0.0174974816,91,84
119745,0.0175187602,90,84
119746,0.0232150509,114,84
119747,0.0244495806,113,84
119748,0.0253324648,107,84
119749,0.0269928818,106,84
119750,0,84,84
119751,0.011464303,71,72
119752,0.0377519794,70,72
119753,0.0403237648,69,72
119754,0.0697162448,50,72
119755,0.0727793421,47,72
119756,0.076017963,56,72
119757,0.076368771,79,72
119758,0.0778209316,66,72
119759,0.0801696547,39,72
119760,0,72,72
119761,0.0539100249,1821,81
119762,0.0722390428,3088,81
119763,0.0747608106,3093,81
119764,0.0747741042,3099,81
119765,0.0760447608,96,81
119766,0.0838395255,98,81
119767,0.085298863,53,81
119768,0.0901642675,54,81
119769,0.0919681026,52,81
119770,0,81,81
119771,0.006180648,65,78
119772,0.0095905298,76,78
119773,0.010315616,64,78
119774,0.0153541933,67,78
119775,0.017344941,120,78
119776,0.0218208957,123,78
119777,0.0291226184,45,78
119778,0.0298181028,85,78
119779,0.0342593024,90,78
119780,0,78,78
119781,0.0672937631,68,77
119782,0.0705429828,141,77
119783,0.0707011449,79,77
119784,0.0772864907,145,77
119785,0.0774693362,69,77
119786,0.0853087213,66,77
119787,0.0855490964,70,77
119788,0.0869056115,134,77
119789,0.0884712845,142,77
119790,0,77,77
119791,0.0035126324,116,80
119792,0.0037984933,121,80
119793,0.0114905469,89,80
119794,0.0147029147,63,80
119795,0.0165182732,92,80
119796,0.0170819737,112,80
119797,0.017827237,93,80
119798,0.0225005755,115,80
119799,0.0240515389,66,80
119800,0,80,80
119801,0.0087897929,55,85
119802,0.0195868032,45,85
119803,0.0214712843,123,85
119804,0.0231326351,44,85
119805,0.023153418,90,85
119806,0.023192847,91,85
119807,0.0247200722,94,85
119808,0.0292177098,41,85
119809,0.0292990259,120,85
119810,0,85,85
119811,0.0051456634,82,83
119812,0.0093184609,100,83
119813,0.0113119724,87,83
119814,0.0158456621,93,83
119815,0.0175112826,92,83
119816,0.0210342359,88,83
119817,0.021489871,104,83
119818,0.0222468468,112,83
119819,0.0231379365,111,83
119820,0,83,83
119821,0.0138813738,68,79
119822,0.0148653726,66,79
119823,0.0225950251,63,79
119824,0.0253216163,56,79
119825,0.0320736916,116,79
119826,0.0322508957,121,79
119827,0.0326771761,50,79
119828,0.0334136743,80,79
119829,0.0387610947,57,79
119830,0,79,79
119831,0.0092775799,82,87
119832,0.0111698089,88,87
119833,0.0113119724,83,87
119834,0.0150697786,86,87
119835,0.0156419971,93,87
119836,0.0157574629,92,87
119837,0.020318715,100,87
119838,0.0212061024,89,87
119839,0.0225536047,97,87
119840,0,87,87
119841,0.0051456634,83,82
119842,0.0092775799,87,82
119843,0.0109223837,93,82
119844,0.0118160761,100,82
119845,0.0124347672,92,82
119846,0.0188225096,112,82
119847,0.0202814633,88,82
119848,0.0206541405,89,82
119849,0.0216740742,104,82
119850,0,82,82
119851,0.0067223501,88,86
119852,0.014949117,97,86
119853,0.0150697786,87,86
119854,0.0167434951,43,86
119855,0.0183257557,62,86
119856,0.0209144544,42,86
119857,0.0234813378,37,86
119858,0.02426526,82,86
119859,0.0260984594,83,86
119860,0,86,86
119861,0.0067223501,86,88
119862,0.0111698089,87,88
119863,0.0122848688,97,88
119864,0.0202814633,82,88
119865,0.0210342359,83,88
119866,0.0230968155,43,88
119867,0.0233298289,62,88
119868,0.0255486582,92,88
119869,0.0260064707,93,88
119870,0,88,88
119871,0.0000398964,90,91
119872,0.0015274158,94,91
