id,is_superuser,is_staff,gender,point,friend_id_list,is_push_on,created_at,block_user_id_list,hide_user_id_list,ban_status,report_count,alarm_count,pending_chat,pending_votes,group_id
838617,0,0,F,3480,"[844288, 838788, 838660, 839941, 838662, 838920, 838536, 838922, 838410, 838927, 838928, 845967, 838674, 838803, 839188, 847889, 839702, 838680, 837660, 842012, 838686, 839966, 838689, 870561, 839203, 837798, 837926, 840490, 838707, 844342, 839992, 839228, 842686, 838853, 837701, 839239, 844870, 839626, 838350, 838609, 839121, 839251, 838612, 838615, 838618, 838234, 847836, 838619, 838621, 873439, 838622, 838749, 838874, 838753, 839007, 839011, 838500, 838624, 839014, 838498, 838761, 839019, 839022, 841710, 840560, 838518, 840823, 838774, 864505, 845434, 850294, 841682, 841077, 841582, 841495, 841019, 839136]",1,"2023-04-19 23:29:08.299613",[],[],N,0,1,0,23,276
838618,0,0,F,883,"[838660, 852102, 838662, 909580, 844820, 862615, 838680, 838686, 844319, 841631, 842408, 873772, 838961, 868785, 838707, 839992, 851137, 853572, 850888, 838609, 842066, 838612, 841300, 838615, 846168, 838617, 838234, 838619, 838621, 838622, 838500, 838761, 839019, 839020, 838904, 841388, 1406547, 899677, 951640, 942696, 843013, 1582197]",0,"2023-04-19 23:29:48.023505",[],[],N,0,0,0,0,276
838619,0,0,F,1380,"[838618, 838500, 838609, 838612, 838615, 838617, 838234, 838622, 838621, 838660, 838680, 838686, 838707, 838518, 838853, 838904, 839236, 839337, 838761, 839266, 839992, 844195, 844820, 845619, 845680, 846828, 850888, 854958, 856153, 1578993]",1,"2023-04-19 23:29:48.755348",[],[],N,0,2,0,10,276
838620,0,0,F,1254,"[838528, 838658, 839555, 838918, 838031, 840850, 837527, 838556, 838557, 838691, 837671, 839207, 839212, 838445, 839215, 837809, 840245, 838584, 838329, 838850, 837959, 838472, 837835, 838861, 838862, 839250, 838879, 838496, 838112, 838626, 838371, 839663, 838517, 839672, 838905, 841504, 840931, 873439, 839764, 840424, 857384]",1,"2023-04-19 23:30:36.168760",[],[],N,0,1,0,11,226
838621,0,0,F,2130,"[838665, 838922, 838680, 838686, 838707, 839992, 838853, 839624, 838609, 838612, 839382, 838615, 838617, 838618, 838234, 838619, 838749, 838622, 838753, 838500, 839022, 838516, 849189, 857261, 873273, 873552, 889965, 840297, 838859, 839683, 847253, 848390, 846015, 861875, 852106]",0,"2023-04-19 23:31:08.492647",[],[],N,0,1,0,0,276
838622,0,0,F,2318,"[838660, 838662, 838665, 838680, 838686, 838957, 838961, 838707, 839992, 839756, 838609, 838612, 838615, 838617, 838234, 838618, 838619, 838621, 838500, 838761, 839020, 838904, 839498, 838603, 845516, 840492, 840657, 848373, 839958, 839258, 839229, 842650]",1,"2023-04-19 23:31:09.377663",[],[],N,0,1,0,0,276
838623,0,0,F,855,"[838146, 889349, 852235, 838545, 837526, 838295, 838297, 838304, 838054, 839592, 838315, 838316, 837806, 838581, 838455, 838202, 837693, 872387, 837703, 838734, 837723, 838365, 838505, 868346]",1,"2023-04-19 23:34:03.012666",[],[],N,0,1,0,18,151
838624,0,0,F,1274,"[844288, 840065, 838786, 838915, 838660, 839172, 838536, 838793, 838410, 838922, 838796, 839310, 838934, 838424, 838425, 838939, 842269, 838942, 850717, 839970, 837798, 838439, 839720, 839083, 839339, 837806, 838579, 839352, 838457, 838521, 839231, 839235, 838596, 838469, 838341, 838599, 838346, 839627, 838476, 838351, 844496, 838353, 1003344, 839251, 838355, 839253, 838742, 838615, 839509, 838361, 838617, 839036, 838362, 838493, 838494, 838367, 873439, 838498, 838883, 838757, 837734, 838887, 838508, 838512, 838515, 838644, 838518, 838777, 838523, 838780, 838527]",1,"2023-04-19 23:36:38.854307",[],[],N,0,1,0,24,196
838625,0,0,F,25,"[839426, 838915, 838786, 839310, 858897, 842134, 840216, 838552, 838425, 843676, 838940, 842269, 843423, 837536, 839970, 837797, 839720, 842024, 838954, 839595, 840233, 837806, 841267, 839224, 838457, 839235, 846659, 838599, 838346, 838476, 842830, 838351, 839120, 838353, 838653, 838995, 838743, 839640, 838489, 838872, 838367, 841056, 838630, 839789, 844783, 839793, 838643, 838777, 838523, 839036, 839037, 839039, 838490, 1152384, 1247760, 1559702]",1,"2023-04-19 23:40:27.031229",[],[838579],N,0,0,0,0,317
838626,0,0,F,1135,"[838528, 839042, 838658, 839555, 844298, 838031, 837527, 843928, 838556, 838557, 837792, 841504, 837670, 837671, 839207, 838314, 839212, 838445, 837809, 839218, 840245, 839607, 838329, 838850, 837959, 838472, 838343, 838478, 839250, 838620, 838111, 838496, 838879, 838371, 840931, 838378, 839663, 838517, 837623, 839672, 838905, 838908, 837757, 873030, 839765, 1539068]",1,"2023-04-19 23:46:29.696291",[],[],N,0,1,0,2,152
838627,0,0,F,2265,"[839179, 850958, 866321, 838935, 881047, 889369, 838170, 838043, 837786, 837787, 837788, 837789, 837791, 838050, 838437, 837801, 837806, 864431, 838198, 861751, 838327, 859196, 837698, 839494, 840140, 837837, 837838, 839638, 838871, 1155551, 865254, 873319, 868840, 879214, 883577, 838283]",1,"2023-04-19 23:47:11.196966",[],[],N,0,1,0,66,186
838628,0,0,F,983,"[838017, 839426, 838915, 839810, 838536, 838796, 838925, 839310, 838417, 838551, 839704, 838425, 838682, 838439, 838568, 856619, 839983, 840760, 838457, 839866, 841727, 838596, 839364, 838601, 838346, 839627, 838351, 838480, 838996, 839127, 837720, 839002, 838883, 839012, 838757, 838630, 838887, 838514, 839027, 838903, 838650, 838523, 939982, 970215, 1530256]",1,"2023-04-19 23:49:00.317665",[],[837697],N,0,1,0,40,970
838629,0,0,F,1051,"[839681, 839694, 844820, 844312, 839708, 844317, 838173, 843294, 844319, 839713, 838184, 842281, 842793, 842284, 841773, 844860, 838207, 839252, 841306, 842842, 838747, 839259, 839775, 839263, 839267, 839269, 837749, 838787, 838802, 838294, 837799, 850087, 837802, 839341, 837806, 837808, 841392, 839346, 838321, 840372, 837830, 849111, 838361, 840421, 841446, 849132, 840943, 837884, 838909, 844543, 839434, 839950, 838438, 842026, 837942, 838461, 845138, 843106, 839523, 844660, 839033, 840570, 838537, 839051, 841615, 843155, 838548, 840606, 840620, 843181, 839089, 837562, 839610, 842171, 837565, 839616, 839617, 839106, 839110, 839115, 852945, 841682, 839123, 838613, 839125, 849372, 838631, 838124, 845292, 841714, 839667, 839668, 841205, 839160, 838654, 840477, 1469950, 1107830, 848519, 1345761, 840221]",1,"2023-04-19 23:53:51.589779",[],[],N,0,1,0,74,263
838630,0,0,F,1223,"[838786, 838410, 841230, 856975, 838929, 838675, 838552, 838681, 838682, 843804, 839458, 838439, 839083, 838830, 1122481, 839866, 856890, 838596, 838469, 838345, 839756, 838351, 839120, 838355, 838742, 839002, 838362, 838363, 838494, 838625, 838498, 838883, 838628, 838508, 854770, 838644, 845301, 838646, 838523, 838780, 841727]",1,"2023-04-19 23:54:38.283693",[],[838598],N,0,1,0,29,292
838631,0,0,F,241,"[853120, 839681, 839175, 838537, 846347, 845199, 851856, 838802, 838548, 837653, 838294, 843670, 843165, 845598, 845086, 848032, 847906, 850465, 841637, 838438, 838184, 848425, 852521, 1148204, 839341, 837806, 844079, 873905, 840372, 849718, 849463, 844216, 839610, 838461, 855102, 1034303, 839617, 839106, 847169, 841798, 858825, 839115, 853068, 846799, 846803, 845783, 838361, 839267, 838629, 839269, 845285, 846441, 843883, 845551, 839667, 839668, 837749, 847733, 846583, 839160, 863867, 838909]",1,"2023-04-19 23:59:55.599078",[],[843894],N,0,1,0,0,263
838638,0,0,F,1575,"[838146, 866309, 889349, 839178, 850442, 838160, 861714, 837669, 874026, 1027116, 837677, 862765, 858673, 838196, 838202, 870972, 837699, 838734, 838227, 851035, 837723, 867420, 838756, 837735, 838759, 838771, 1458817, 877706, 838285, 897681, 838293, 837781, 838295, 874135, 838297, 838298, 838301, 838303, 838304, 874664, 838825, 839849, 838315, 838316, 838318, 838324, 890549, 885955, 838340, 838854, 838344, 838352, 838357, 838360, 838875, 838365, 838369, 838372, 838373, 839423, 867077, 863494, 838407, 838412, 838926, 838421, 838429, 862494, 865055, 838433, 838436, 863017, 838446, 838449, 838453, 838455, 838474, 838993, 838484, 838495, 838504, 865131, 876930, 838535, 838544, 849812, 838549, 837526, 864663, 837529, 865694, 873377, 838054, 859053, 838578, 838581, 838587, 876988, 850877, 862141, 1011134, 838594, 838597, 839621, 840134, 869327, 839124, 855508, 861142, 857059, 913892, 838117, 837610, 837617, 864754, 838645, 867830, 849400, 849403]",0,"2023-04-20 00:06:39.819743",[],[838332],N,0,1,1,4,174
838639,0,0,F,96,"[849415, 838537, 838538, 838287, 838801, 838294, 839456, 839713, 839077, 841341, 860839, 838573, 837806, 840368, 840372, 838326, 845371, 849853, 838461, 845374, 839617, 838721, 839622, 839115, 839119, 838613, 839000, 838361, 839131, 839261, 839016, 839147, 839282, 837749, 838909, 879517, 839160, 844078, 1555765]",1,"2023-04-20 00:07:01.034135",[],[],N,0,1,0,31,281
