id,reason,created_at,block_user_id,user_id
229,"친구 사이가 어색해짐","2023-05-06 13:16:21",913483,915290
230,"친구 사이가 어색해짐","2023-05-06 13:18:40",898020,897693
233,"모르는 사람임","2023-05-06 13:25:19",870106,872517
234,"모르는 사람임","2023-05-06 13:29:12",910106,911225
237,"친구 사이가 어색해짐","2023-05-06 13:32:49",913066,898439
238,"모르는 사람임","2023-05-06 13:34:06",871380,875178
239,"너무 많은 양의 질문을 보냄","2023-05-06 13:34:21",871380,875178
246,"사칭 계정","2023-05-06 13:41:16",903506,891861
247,"친구 사이가 어색해짐","2023-05-06 13:46:49",914542,897953
248,"친구 사이가 어색해짐","2023-05-06 13:53:50",880139,909582
249,"모르는 사람임","2023-05-06 13:57:20",912368,905504
250,"너무 많은 양의 질문을 보냄","2023-05-06 13:58:03",906771,905400
251,"모르는 사람임","2023-05-06 13:59:25",876371,909191
252,"친구 사이가 어색해짐","2023-05-06 14:07:49",912365,919244
255,"모르는 사람임","2023-05-06 14:10:01",900589,900138
256,"사칭 계정","2023-05-06 14:10:20",909755,892418
257,"모르는 사람임","2023-05-06 14:12:23",913458,918168
259,"모르는 사람임","2023-05-06 14:21:08",912368,905504
260,"모르는 사람임","2023-05-06 14:21:27",919536,908092
261,"모르는 사람임","2023-05-06 14:22:41",904346,911301
262,"친구 사이가 어색해짐","2023-05-06 14:22:57",904346,911301
263,"친구 사이가 어색해짐","2023-05-06 14:25:08",917784,915540
264,"모르는 사람임","2023-05-06 14:28:43",910345,899921
268,"너무 많은 양의 질문을 보냄","2023-05-06 14:32:43",890996,916239
269,"모르는 사람임","2023-05-06 14:35:03",917124,901079
270,"사칭 계정","2023-05-06 14:38:06",920263,921659
271,"친구 사이가 어색해짐","2023-05-06 14:39:11",876207,883369
273,"너무 많은 양의 질문을 보냄","2023-05-06 14:42:49",876207,883369
274,"모르는 사람임","2023-05-06 14:43:10",898020,897693
275,"친구 사이가 어색해짐","2023-05-06 14:43:23",898117,893768
276,"모르는 사람임","2023-05-06 14:45:40",876207,883369
277,"친구 사이가 어색해짐","2023-05-06 14:47:02",920167,915200
278,"너무 많은 양의 질문을 보냄","2023-05-06 14:47:18",876207,883369
280,"사칭 계정","2023-05-06 14:49:53",916860,915662
281,"너무 많은 양의 질문을 보냄","2023-05-06 14:52:06",876207,889732
282,"너무 많은 양의 질문을 보냄","2023-05-06 14:53:09",876207,889732
283,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 14:53:18",876207,889732
284,"모르는 사람임","2023-05-06 14:53:33",876207,889732
285,"친구 사이가 어색해짐","2023-05-06 14:54:06",906831,904736
286,"너무 많은 양의 질문을 보냄","2023-05-06 14:54:09",876207,889732
287,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 14:54:17",876207,889732
288,"너무 많은 양의 질문을 보냄","2023-05-06 14:54:53",876207,889732
290,"너무 많은 양의 질문을 보냄","2023-05-06 14:56:13",876207,889732
291,"너무 많은 양의 질문을 보냄","2023-05-06 14:57:09",876207,889732
292,"모르는 사람임","2023-05-06 14:57:20",919826,923202
293,"너무 많은 양의 질문을 보냄","2023-05-06 14:58:34",876207,889732
294,"모르는 사람임","2023-05-06 14:58:51",876371,909191
295,"모르는 사람임","2023-05-06 14:59:01",876371,909191
296,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 14:59:05",876207,889732
297,"너무 많은 양의 질문을 보냄","2023-05-06 14:59:49",876207,889732
298,"너무 많은 양의 질문을 보냄","2023-05-06 14:59:54",876207,889732
299,"너무 많은 양의 질문을 보냄","2023-05-06 15:00:33",876207,889732
300,"너무 많은 양의 질문을 보냄","2023-05-06 15:00:53",876207,889732
301,"너무 많은 양의 질문을 보냄","2023-05-06 15:01:03",876207,889732
302,"모르는 사람임","2023-05-06 15:01:35",876723,872902
303,"너무 많은 양의 질문을 보냄","2023-05-06 15:02:19",876207,889732
305,"너무 많은 양의 질문을 보냄","2023-05-06 15:03:27",876207,889732
307,"너무 많은 양의 질문을 보냄","2023-05-06 15:04:59",876207,889732
308,"모르는 사람임","2023-05-06 15:07:46",912549,908325
309,"모르는 사람임","2023-05-06 15:08:15",888424,884464
313,"모르는 사람임","2023-05-06 15:14:18",900330,897037
314,"모르는 사람임","2023-05-06 15:17:59",876723,872902
315,"친구 사이가 어색해짐","2023-05-06 15:18:06",876723,872902
317,"모르는 사람임","2023-05-06 15:19:18",910646,871515
318,"모르는 사람임","2023-05-06 15:19:41",886935,881680
320,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 15:19:52",881969,913890
321,"친구 사이가 어색해짐","2023-05-06 15:20:26",912365,919244
322,"모르는 사람임","2023-05-06 15:20:45",886935,881680
324,"모르는 사람임","2023-05-06 15:21:12",867328,841008
325,"너무 많은 양의 질문을 보냄","2023-05-06 15:22:22",876207,889732
331,"친구 사이가 어색해짐","2023-05-06 15:31:03",916353,863401
332,"모르는 사람임","2023-05-06 15:34:30",896105,882021
333,"친구 사이가 어색해짐","2023-05-06 15:37:21",862265,862060
334,"모르는 사람임","2023-05-06 15:39:37",887819,917715
335,"모르는 사람임","2023-05-06 15:41:29",901718,857876
336,"모르는 사람임","2023-05-06 15:42:40",897010,899865
337,"친구 사이가 어색해짐","2023-05-06 15:42:46",913663,905028
338,"모르는 사람임","2023-05-06 15:42:49",904275,899865
339,"친구 사이가 어색해짐","2023-05-06 15:44:48",871445,926167
340,"모르는 사람임","2023-05-06 15:45:53",911602,926502
341,"모르는 사람임","2023-05-06 15:47:17",898020,901327
343,"모르는 사람임","2023-05-06 15:51:43",922321,919318
344,"친구 사이가 어색해짐","2023-05-06 15:52:37",915457,920167
345,"친구 사이가 어색해짐","2023-05-06 15:55:23",884137,875951
346,"모르는 사람임","2023-05-06 15:55:24",898020,898071
347,"친구 사이가 어색해짐","2023-05-06 15:55:56",923623,922643
348,"모르는 사람임","2023-05-06 15:57:12",903566,889336
349,"모르는 사람임","2023-05-06 15:59:07",887763,909606
351,"친구 사이가 어색해짐","2023-05-06 16:05:09",925765,904643
352,"친구 사이가 어색해짐","2023-05-06 16:05:22",925862,904643
353,"친구 사이가 어색해짐","2023-05-06 16:05:38",922643,904643
354,"사칭 계정","2023-05-06 16:08:08",924444,890774
355,"모르는 사람임","2023-05-06 16:10:14",903566,889336
356,"모르는 사람임","2023-05-06 16:10:47",922978,901941
357,"모르는 사람임","2023-05-06 16:10:55",852577,874624
358,"모르는 사람임","2023-05-06 16:11:14",911423,895843
359,"모르는 사람임","2023-05-06 16:14:29",915662,897072
360,"모르는 사람임","2023-05-06 16:16:58",911423,895843
362,"모르는 사람임","2023-05-06 16:19:14",862066,902435
363,"모르는 사람임","2023-05-06 16:19:43",851166,902435
365,"모르는 사람임","2023-05-06 16:25:38",913310,893300
366,"친구 사이가 어색해짐","2023-05-06 16:27:45",901077,896037
367,"모르는 사람임","2023-05-06 16:27:48",898020,897345
368,"모르는 사람임","2023-05-06 16:28:15",898020,897345
369,"모르는 사람임","2023-05-06 16:31:44",841284,911470
370,"모르는 사람임","2023-05-06 16:31:52",897681,911470
371,"사칭 계정","2023-05-06 16:32:20",887229,844453
372,"모르는 사람임","2023-05-06 16:33:34",900330,897037
373,"모르는 사람임","2023-05-06 16:33:44",900330,897037
374,"모르는 사람임","2023-05-06 16:33:56",900330,897037
375,"친구 사이가 어색해짐","2023-05-06 16:34:05",922782,888280
376,"모르는 사람임","2023-05-06 16:36:09",896106,897037
378,"친구 사이가 어색해짐","2023-05-06 16:37:45",840715,840898
379,"너무 많은 양의 질문을 보냄","2023-05-06 16:39:41",903566,889336
381,"모르는 사람임","2023-05-06 16:42:13",906439,918631
382,"모르는 사람임","2023-05-06 16:42:14",897681,911470
383,"모르는 사람임","2023-05-06 16:44:05",925193,911572
385,"너무 많은 양의 질문을 보냄","2023-05-06 16:44:57",841284,911470
386,"모르는 사람임","2023-05-06 16:46:30",898020,901327
