id,reason,created_at,question_id,user_id
274,"이 질문은 재미없어요","2023-04-22 18:20:24",120,839056
275,"이 질문은 재미없어요","2023-04-22 18:21:10",116,839056
276,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 18:22:53",296,841623
277,"이 질문은 재미없어요","2023-04-22 18:22:54",284,839056
278,"이 질문은 재미없어요","2023-04-22 18:25:39",112,839056
279,"이 질문은 재미없어요","2023-04-22 18:27:58",99,839056
280,"이 질문은 재미없어요","2023-04-22 18:29:55",310,839056
281,"이 질문은 재미없어요","2023-04-22 18:30:22",248,839056
282,"이 질문은 재미없어요","2023-04-22 18:33:51",203,839056
283,"이 질문은 재미없어요","2023-04-22 18:37:14",194,839056
284,"이 질문은 재미없어요","2023-04-22 18:38:26",204,839056
285,"이 질문은 재미없어요","2023-04-22 18:40:23",203,839056
286,"이 질문은 재미없어요","2023-04-22 18:40:52",281,839056
287,"이 질문은 재미없어요","2023-04-22 18:41:35",275,839056
288,"이 질문은 재미없어요","2023-04-22 18:42:58",204,839056
289,"이 질문은 재미없어요","2023-04-22 18:44:50",267,839056
290,"이 질문은 재미없어요","2023-04-22 18:48:35",281,839056
291,"이 질문은 재미없어요","2023-04-22 18:48:51",275,839056
292,"이 질문은 재미없어요","2023-04-22 18:49:46",189,839056
293,"이 질문은 재미없어요","2023-04-22 18:50:12",225,839056
294,"이 질문은 재미없어요","2023-04-22 18:50:21",227,839056
295,"이 질문은 재미없어요","2023-04-22 18:51:20",114,839056
296,"이 질문은 재미없어요","2023-04-22 18:53:11",286,839056
297,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 18:54:23",106,839056
298,"이 질문은 재미없어요","2023-04-22 18:54:53",291,839056
299,"이 질문은 재미없어요","2023-04-22 18:55:35",120,839056
300,"이 질문은 재미없어요","2023-04-22 19:09:00",310,839056
301,"이 질문은 재미없어요","2023-04-22 19:09:59",116,839056
302,"이 질문은 재미없어요","2023-04-22 19:11:06",113,839056
303,"이 질문은 재미없어요","2023-04-22 19:12:00",300,839056
304,기타,"2023-04-22 22:07:18",149,837617
305,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 22:07:46",233,837617
306,"어떻게 이런 생각을? 이 질문 최고!","2023-04-22 22:07:54",318,837617
308,기타,"2023-04-22 23:45:11",313,841477
309,기타,"2023-04-23 01:09:21",251,840181
310,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 02:18:32",193,839369
311,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 02:21:48",224,841209
312,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 03:11:22",134,842347
313,기타,"2023-04-23 03:13:00",136,841623
314,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 03:14:27",239,838582
315,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 03:34:32",202,841772
316,기타,"2023-04-23 04:01:42",204,842147
317,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 04:33:11",235,840957
318,기타,"2023-04-23 05:03:50",296,841839
