id,reason,created_at
223,"함께 할 친구가 없어서","2023-04-20 14:11:47"
224,"기타 이유","2023-04-20 14:13:24"
225,"재밌는 질문이 없어서","2023-04-20 14:28:15"
226,"기타 이유","2023-04-20 14:39:33"
227,"함께 할 친구가 없어서","2023-04-20 14:46:28"
228,"기타 이유","2023-04-20 14:46:29"
229,"재밌는 질문이 없어서","2023-04-20 14:47:05"
230,"기타 이유","2023-04-20 14:51:52"
231,"기타 이유","2023-04-20 14:57:43"
232,"기타 이유","2023-04-20 15:00:07"
233,"기타 이유","2023-04-20 15:01:36"
234,"기타 이유","2023-04-20 15:11:37"
235,"기타 이유","2023-04-20 15:14:17"
236,"함께 할 친구가 없어서","2023-04-20 15:25:51"
237,"함께 할 친구가 없어서","2023-04-20 15:31:49"
238,"함께 할 친구가 없어서","2023-04-20 15:35:11"
239,"버그가 너무 많아서","2023-04-20 15:42:09"
240,"버그가 너무 많아서","2023-04-20 15:51:20"
241,"함께 할 친구가 없어서","2023-04-20 15:52:57"
242,"기타 이유","2023-04-20 16:13:33"
243,"함께 할 친구가 없어서","2023-04-20 16:22:20"
244,"기타 이유","2023-04-20 16:59:33"
245,"기타 이유","2023-04-20 18:52:42"
246,"함께 할 친구가 없어서","2023-04-20 20:30:20"
247,"함께 할 친구가 없어서","2023-04-20 21:14:08"
248,"함께 할 친구가 없어서","2023-04-20 21:42:02"
249,"기타 이유","2023-04-20 22:10:33"
250,"기타 이유","2023-04-20 22:18:32"
251,"기타 이유","2023-04-20 22:33:03"
252,"기타 이유","2023-04-20 23:25:11"
253,"함께 할 친구가 없어서","2023-04-20 23:26:22"
254,"함께 할 친구가 없어서","2023-04-20 23:29:56"
255,"기타 이유","2023-04-21 00:22:15"
256,"기타 이유","2023-04-21 01:11:49"
257,"기타 이유","2023-04-21 01:11:55"
258,"기타 이유","2023-04-21 01:16:01"
259,"기타 이유","2023-04-21 01:37:18"
260,"기타 이유","2023-04-21 03:07:17"
261,"기타 이유","2023-04-21 03:34:25"
262,"함께 할 친구가 없어서","2023-04-21 03:39:45"
263,"재밌는 질문이 없어서","2023-04-21 03:44:49"
264,"기타 이유","2023-04-21 03:48:17"
265,"구독료가 너무 비싸서","2023-04-21 03:48:26"
266,"함께 할 친구가 없어서","2023-04-21 03:52:54"
267,"재밌는 질문이 없어서","2023-04-21 04:07:36"
268,"기타 이유","2023-04-21 04:22:59"
269,"기타 이유","2023-04-21 04:38:41"
270,"함께 할 친구가 없어서","2023-04-21 05:11:59"
271,"함께 할 친구가 없어서","2023-04-21 05:35:50"
272,"기타 이유","2023-04-21 05:55:11"
273,"기타 이유","2023-04-21 05:59:07"
274,"기타 이유","2023-04-21 06:17:09"
275,"기타 이유","2023-04-21 06:26:54"
276,"함께 할 친구가 없어서","2023-04-21 06:45:01"
277,"기타 이유","2023-04-21 07:00:10"
278,"함께 할 친구가 없어서","2023-04-21 07:04:10"
279,"기타 이유","2023-04-21 07:36:21"
280,"재밌는 질문이 없어서","2023-04-21 07:39:49"
281,"기타 이유","2023-04-21 07:59:23"
282,"기타 이유","2023-04-21 08:05:35"
284,"기타 이유","2023-04-21 08:06:42"
285,"기타 이유","2023-04-21 08:16:03"
286,"기타 이유","2023-04-21 08:57:19"
287,"기타 이유","2023-04-21 08:58:55"
288,"기타 이유","2023-04-21 08:58:59"
289,"기타 이유","2023-04-21 09:07:03"
290,"기타 이유","2023-04-21 09:12:31"
291,"기타 이유","2023-04-21 09:13:06"
292,"기타 이유","2023-04-21 09:35:20"
293,"재밌는 질문이 없어서","2023-04-21 09:38:09"
294,"함께 할 친구가 없어서","2023-04-21 09:46:24"
295,"기타 이유","2023-04-21 09:48:40"
296,"기타 이유","2023-04-21 10:04:53"
297,"기타 이유","2023-04-21 10:11:58"
298,"기타 이유","2023-04-21 10:22:04"
299,"기타 이유","2023-04-21 10:22:32"
300,"기타 이유","2023-04-21 10:29:19"
301,"기타 이유","2023-04-21 10:42:28"
302,"기타 이유","2023-04-21 10:55:51"
303,"기타 이유","2023-04-21 11:05:57"
304,"기타 이유","2023-04-21 11:09:07"
305,"함께 할 친구가 없어서","2023-04-21 11:09:16"
306,"재밌는 질문이 없어서","2023-04-21 11:30:21"
307,"기타 이유","2023-04-21 11:38:05"
308,"기타 이유","2023-04-21 11:47:44"
309,"기타 이유","2023-04-21 11:48:05"
310,"기타 이유","2023-04-21 11:55:01"
311,"함께 할 친구가 없어서","2023-04-21 12:01:44"
312,"기타 이유","2023-04-21 12:16:29"
313,"함께 할 친구가 없어서","2023-04-21 12:16:36"
314,"기타 이유","2023-04-21 12:18:55"
315,"기타 이유","2023-04-21 12:21:56"
316,"함께 할 친구가 없어서","2023-04-21 12:22:04"
317,"기타 이유","2023-04-21 12:35:39"
318,"기타 이유","2023-04-21 12:39:43"
319,"함께 할 친구가 없어서","2023-04-21 13:24:44"
320,"기타 이유","2023-04-21 13:29:07"
321,"함께 할 친구가 없어서","2023-04-21 13:36:17"
322,"구독료가 너무 비싸서","2023-04-21 13:49:26"
323,"기타 이유","2023-04-21 13:51:27"
324,"기타 이유","2023-04-21 13:55:22"
325,"구독료가 너무 비싸서","2023-04-21 13:58:04"
326,"기타 이유","2023-04-21 13:58:35"
327,"기타 이유","2023-04-21 14:09:37"
328,"기타 이유","2023-04-21 14:13:18"
329,"함께 할 친구가 없어서","2023-04-21 14:13:18"
330,"기타 이유","2023-04-21 14:18:12"
331,"기타 이유","2023-04-21 14:27:53"
332,"기타 이유","2023-04-21 14:31:16"
333,"함께 할 친구가 없어서","2023-04-21 14:34:01"
334,"함께 할 친구가 없어서","2023-04-21 14:35:11"
335,"함께 할 친구가 없어서","2023-04-21 14:40:50"
336,"기타 이유","2023-04-21 14:49:48"
337,"기타 이유","2023-04-21 14:54:13"
338,"함께 할 친구가 없어서","2023-04-21 15:10:06"
339,"기타 이유","2023-04-21 15:11:47"
340,"기타 이유","2023-04-21 15:14:37"
341,"기타 이유","2023-04-21 15:15:49"
342,"기타 이유","2023-04-21 15:23:18"
343,"기타 이유","2023-04-21 15:25:38"
344,"버그가 너무 많아서","2023-04-21 15:27:37"
345,"기타 이유","2023-04-21 15:27:45"
346,"기타 이유","2023-04-21 15:35:07"
347,"기타 이유","2023-04-21 15:36:51"
348,"기타 이유","2023-04-21 15:38:14"
349,"기타 이유","2023-04-21 15:41:08"
350,"함께 할 친구가 없어서","2023-04-21 15:45:50"
351,"기타 이유","2023-04-21 15:47:00"
352,"재밌는 질문이 없어서","2023-04-21 15:48:31"
353,"함께 할 친구가 없어서","2023-04-21 15:51:30"
354,"재밌는 질문이 없어서","2023-04-21 15:51:59"
355,"기타 이유","2023-04-21 16:08:34"
356,"함께 할 친구가 없어서","2023-04-21 16:22:28"
357,"기타 이유","2023-04-21 16:36:40"
358,"기타 이유","2023-04-21 16:45:57"
359,"기타 이유","2023-04-21 16:47:26"
360,"기타 이유","2023-04-21 17:29:52"
361,"기타 이유","2023-04-21 17:33:03"
362,"함께 할 친구가 없어서","2023-04-21 17:35:34"
363,"함께 할 친구가 없어서","2023-04-21 17:42:14"
364,"함께 할 친구가 없어서","2023-04-21 17:44:17"
365,"기타 이유","2023-04-21 18:21:41"
366,"기타 이유","2023-04-21 18:59:28"
367,"기타 이유","2023-04-21 23:38:10"
368,"기타 이유","2023-04-22 00:05:20"
369,"기타 이유","2023-04-22 01:10:36"
370,"함께 할 친구가 없어서","2023-04-22 01:29:02"
371,"기타 이유","2023-04-22 01:42:16"
372,"함께 할 친구가 없어서","2023-04-22 02:14:17"
373,"함께 할 친구가 없어서","2023-04-22 02:42:43"
374,"기타 이유","2023-04-22 03:11:52"
375,"기타 이유","2023-04-22 03:29:59"
376,"기타 이유","2023-04-22 03:36:17"
377,"버그가 너무 많아서","2023-04-22 03:40:38"
378,"기타 이유","2023-04-22 03:44:11"
379,"기타 이유","2023-04-22 03:57:19"
380,"기타 이유","2023-04-22 04:38:14"
381,"기타 이유","2023-04-22 04:38:26"
382,"기타 이유","2023-04-22 04:54:40"
383,"기타 이유","2023-04-22 04:58:21"
384,"함께 할 친구가 없어서","2023-04-22 05:06:50"
