id,is_voted,created_at,question_id,is_skipped
1003355,1,"2023-04-28 12:42:55",136,0
1003356,1,"2023-04-28 12:42:55",155,0
1003488,1,"2023-04-28 12:43:35",108,0
1003489,1,"2023-04-28 12:43:35",272,0
1003491,1,"2023-04-28 12:43:35",274,0
1003493,1,"2023-04-28 12:43:35",165,0
1003494,1,"2023-04-28 12:43:35",192,0
1003497,1,"2023-04-28 12:43:35",306,0
1003588,1,"2023-04-28 12:44:06",287,0
1003589,1,"2023-04-28 12:44:06",194,0
1003590,1,"2023-04-28 12:44:06",228,0
1003591,1,"2023-04-28 12:44:06",292,0
1003592,1,"2023-04-28 12:44:06",218,0
1003594,1,"2023-04-28 12:44:06",243,0
1003595,1,"2023-04-28 12:44:06",131,0
1003596,1,"2023-04-28 12:44:06",235,0
1003597,1,"2023-04-28 12:44:06",265,0
1003728,1,"2023-04-28 12:44:43",305,0
1003730,1,"2023-04-28 12:44:43",164,0
1003731,1,"2023-04-28 12:44:43",295,0
1003732,1,"2023-04-28 12:44:43",211,0
1003733,1,"2023-04-28 12:44:43",217,0
1003734,1,"2023-04-28 12:44:43",158,0
1003737,1,"2023-04-28 12:44:43",167,0
1003849,1,"2023-04-28 12:45:21",217,0
1003850,1,"2023-04-28 12:45:21",171,0
1003851,1,"2023-04-28 12:45:21",244,0
1003853,1,"2023-04-28 12:45:21",288,0
1003854,1,"2023-04-28 12:45:21",110,0
1003855,1,"2023-04-28 12:45:21",324,0
1003856,1,"2023-04-28 12:45:21",309,0
1003857,1,"2023-04-28 12:45:21",195,0
1004038,1,"2023-04-28 12:46:43",310,0
1004039,1,"2023-04-28 12:46:43",200,0
1004040,1,"2023-04-28 12:46:43",221,0
1004041,1,"2023-04-28 12:46:43",201,0
1004042,1,"2023-04-28 12:46:44",134,0
1004043,1,"2023-04-28 12:46:44",244,0
1004045,1,"2023-04-28 12:46:44",135,0
1004047,1,"2023-04-28 12:46:44",202,0
1004398,1,"2023-04-28 12:48:20",177,0
1004399,1,"2023-04-28 12:48:20",293,0
1004400,1,"2023-04-28 12:48:20",311,0
1004401,1,"2023-04-28 12:48:20",269,0
1004403,1,"2023-04-28 12:48:20",102,0
1004404,1,"2023-04-28 12:48:20",111,0
1004405,1,"2023-04-28 12:48:20",199,0
1004406,1,"2023-04-28 12:48:20",273,0
1004407,1,"2023-04-28 12:48:20",209,0
1004410,1,"2023-04-28 12:48:20",324,0
1004549,1,"2023-04-28 12:48:57",262,0
1004550,1,"2023-04-28 12:48:57",171,0
1004552,1,"2023-04-28 12:48:57",236,0
1004553,1,"2023-04-28 12:48:57",309,0
1004554,1,"2023-04-28 12:48:57",100,0
1004555,1,"2023-04-28 12:48:57",247,0
1004557,1,"2023-04-28 12:48:58",312,0
1004630,1,"2023-04-28 12:49:15",108,0
1004631,1,"2023-04-28 12:49:15",224,0
1004632,1,"2023-04-28 12:49:15",117,0
1004633,1,"2023-04-28 12:49:15",138,0
1004634,1,"2023-04-28 12:49:15",270,0
1004635,1,"2023-04-28 12:49:15",286,0
1004636,1,"2023-04-28 12:49:15",322,0
1004637,1,"2023-04-28 12:49:15",112,0
1004727,1,"2023-04-28 12:49:40",317,0
1004729,1,"2023-04-28 12:49:40",223,0
1004730,1,"2023-04-28 12:49:40",307,0
1004732,1,"2023-04-28 12:49:40",167,0
1004733,1,"2023-04-28 12:49:40",298,0
1004735,1,"2023-04-28 12:49:40",296,0
1004737,1,"2023-04-28 12:49:40",128,0
